system_id,id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name,cluster_id
1,682,2020-03-20 23:43:36.426534,0242ac12-0005-37be-a252-00000000014c,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,12,f,f,1,4,57,2,33,,,1
1,683,2020-03-20 23:43:36.471162,d069d1be-d037-4e34-90c2-186d752cae7a,0242ac12-0005-37be-a252-00000000014c,runner_on_start,12,f,f,1,4,57,2,33,1,6,1
1,684,2020-03-20 23:43:36.938975,145e7559-5d00-4005-a59e-faeaff2a9685,0242ac12-0005-37be-a252-00000000014c,runner_on_skipped,12,f,f,1,4,57,2,33,2,3,1
1,685,2020-03-20 23:43:37.001041,0242ac12-0005-37be-a252-00000000014d,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,15,f,f,1,4,38,2,33,,,1
1,686,2020-03-20 23:43:37.002063,42f21275-6415-4445-9e67-ce1bb436add9,0242ac12-0005-37be-a252-00000000014d,runner_on_start,15,f,f,1,4,38,2,33,2,3,1
1,687,2020-03-20 23:43:37.133299,88dc4ff8-d135-45e7-8541-43719a784a28,0242ac12-0005-37be-a252-00000000014e,runner_on_start,10,f,f,1,4,53,2,33,2,3,1
1,688,2020-03-20 23:43:37.132295,0242ac12-0005-37be-a252-00000000014e,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,10,f,f,1,4,53,2,33,,,1
1,689,2020-03-20 23:43:36.975669,f928154c-339b-40de-a2cb-2fdf60182e7b,0242ac12-0005-37be-a252-00000000014c,runner_on_skipped,12,f,f,1,4,57,2,33,1,6,1
1,690,2020-03-20 23:43:37.079827,c6bcd2d9-2312-4640-952b-0e4a52a66f03,0242ac12-0005-37be-a252-00000000014d,runner_on_start,15,f,f,1,4,38,2,33,1,6,1
1,691,2020-03-20 23:43:37.096525,ac4bb017-9346-4f87-aeaf-5484cfc935f7,0242ac12-0005-37be-a252-00000000014d,runner_on_skipped,15,f,f,1,4,38,2,33,2,3,1
1,692,2020-03-20 23:43:37.105233,762615fc-4d40-41eb-a720-e2b4138e53c3,0242ac12-0005-37be-a252-00000000014d,runner_on_skipped,15,f,f,1,4,38,2,33,1,6,1
1,693,2020-03-20 23:43:37.187329,525afa0f-13d4-4b88-917b-f2a106d64edb,0242ac12-0005-37be-a252-00000000014e,runner_on_start,10,f,f,1,4,53,2,33,1,6,1
1,694,2020-03-20 23:43:38.450345,cc21dd30-4ec9-48f0-862a-c548df973667,0242ac12-0005-37be-a252-00000000014e,runner_on_ok,10,f,f,1,4,53,2,33,2,3,1
1,695,2020-03-20 23:43:38.472632,0242ac12-0005-37be-a252-00000000014f,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,10,f,f,1,4,30,2,33,,,1
1,696,2020-03-20 23:43:38.519877,27dffb21-70be-400c-aead-a7e77295de7f,0242ac12-0005-37be-a252-00000000014f,runner_on_start,10,f,f,1,4,30,2,33,1,6,1
1,697,2020-03-20 23:43:38.570454,ece290d8-e914-43a6-8869-2ddad811102b,0242ac12-0005-37be-a252-000000000150,runner_on_start,15,f,f,1,4,47,2,33,2,3,1
1,698,2020-03-20 23:43:38.397506,bf0941a4-6d85-4f10-9b20-cbecb99e6e78,0242ac12-0005-37be-a252-00000000014e,runner_on_ok,10,f,f,1,4,53,2,33,1,6,1
1,699,2020-03-20 23:43:38.476692,cc3d308c-fcd5-437d-9567-d1a488181eb4,0242ac12-0005-37be-a252-00000000014f,runner_on_start,10,f,f,1,4,30,2,33,2,3,1
1,700,2020-03-20 23:43:38.533067,2c654922-0052-4f5d-b754-ea564a997428,0242ac12-0005-37be-a252-00000000014f,runner_on_skipped,10,f,f,1,4,30,2,33,2,3,1
1,701,2020-03-20 23:43:38.569353,0242ac12-0005-37be-a252-000000000150,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,15,f,f,1,4,47,2,33,,,1
1,702,2020-03-20 23:43:38.54235,1ce1bb6c-4ab3-4be1-abf3-56dee044c266,0242ac12-0005-37be-a252-00000000014f,runner_on_skipped,10,f,f,1,4,30,2,33,1,6,1
1,703,2020-03-20 23:43:38.620663,a35559ae-6b5e-4efb-b6b6-71202f2b4f96,0242ac12-0005-37be-a252-000000000150,runner_on_start,15,f,f,1,4,47,2,33,1,6,1
1,704,2020-03-20 23:43:39.584314,7edb8361-fe68-4d56-9557-d3f15ed65e87,0242ac12-0005-37be-a252-000000000150,runner_on_ok,15,f,f,1,4,47,2,33,1,6,1
1,705,2020-03-20 23:43:40.017439,27de81bf-42cd-410e-b144-787b522ad350,0242ac12-0005-37be-a252-000000000150,runner_on_ok,15,f,f,1,4,47,2,33,2,3,1
1,706,2020-03-20 23:43:40.042773,0242ac12-0005-37be-a252-000000000151,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,10,f,f,1,4,3,2,33,,,1
1,707,2020-03-20 23:43:40.04399,ae998193-7c34-4aed-a302-5bb9711eadb5,0242ac12-0005-37be-a252-000000000151,runner_on_start,10,f,f,1,4,3,2,33,2,3,1
1,708,2020-03-20 23:43:40.126068,fa151bbf-d778-4137-8053-3e8c1b0889e8,0242ac12-0005-37be-a252-000000000151,runner_on_start,10,f,f,1,4,3,2,33,1,6,1
1,709,2020-03-20 23:43:41.109091,a732e557-5ec2-4f4b-a64e-908549f2803d,0242ac12-0005-37be-a252-000000000151,runner_on_ok,10,f,f,1,4,3,2,33,1,6,1
1,710,2020-03-20 23:43:41.397505,01dbb4da-8380-4226-a095-92bc77e0b9ff,0242ac12-0005-37be-a252-000000000151,runner_on_ok,10,f,f,1,4,3,2,33,2,3,1
1,711,2020-03-20 23:43:41.421167,fc4aff72-30b9-4289-b8ed-fb7e2f3c7d90,0242ac12-0005-37be-a252-000000000152,runner_on_start,6,f,f,1,4,29,2,33,2,3,1
1,712,2020-03-20 23:43:41.419832,0242ac12-0005-37be-a252-000000000152,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,6,f,t,1,4,29,2,33,,,1
1,713,2020-03-20 23:43:41.473289,485e7e18-a459-4c73-963e-877283791d4d,0242ac12-0005-37be-a252-000000000152,runner_on_start,6,f,f,1,4,29,2,33,1,6,1
1,714,2020-03-20 23:43:43.102788,c07b3548-18aa-4048-8f17-adc38ae7dd7c,0242ac12-0005-37be-a252-000000000152,runner_on_ok,6,f,f,1,4,29,2,33,2,3,1
1,715,2020-03-20 23:43:47.038394,b05f9106-8c22-48c8-9a8b-22bbbc1508e5,0242ac12-0005-37be-a252-000000000152,runner_on_ok,6,f,t,1,4,29,2,33,1,6,1
1,716,2020-03-20 23:43:47.099413,d7fbc8d9-f0dd-4409-949a-290df93064a0,0242ac12-0005-37be-a252-000000000012,runner_on_start,5,f,f,1,4,33,2,33,1,6,1
1,717,2020-03-20 23:43:47.053017,0242ac12-0005-37be-a252-000000000012,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,5,f,f,1,4,33,2,33,,,1
1,718,2020-03-20 23:43:47.053804,5d7a11b1-5f4d-4325-8e43-33ef23283f76,0242ac12-0005-37be-a252-000000000012,runner_on_start,5,f,f,1,4,33,2,33,2,3,1
1,719,2020-03-20 23:43:47.111254,e01c1e5f-2e10-4af0-96ad-8cbcb42f7af2,0242ac12-0005-37be-a252-000000000012,runner_on_ok,5,f,f,1,4,33,2,33,2,3,1
1,720,2020-03-20 23:43:47.11859,c031cdae-dabd-4e8b-b538-1eb599a3054b,0242ac12-0005-37be-a252-000000000012,runner_on_ok,5,f,f,1,4,33,2,33,1,6,1
1,721,2020-03-20 23:43:47.340121,0242ac12-0005-37be-a252-000000000219,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,14,f,f,1,4,20,2,33,,,1
1,722,2020-03-20 23:43:47.23017,10b200e2-2784-4a80-9827-d4fe06c2cb1b,0242ac12-0005-37be-a252-000000000012,playbook_on_include,5,f,f,1,4,33,2,33,,,1
1,723,2020-03-20 23:43:47.341469,e06b736b-0f12-4c5f-b98c-a7fdfaca7408,0242ac12-0005-37be-a252-000000000219,runner_on_start,14,f,f,1,4,20,2,33,2,3,1
1,724,2020-03-20 23:43:47.436427,a2077bda-9ef9-40cd-9d86-6425f979f830,0242ac12-0005-37be-a252-000000000219,runner_on_start,14,f,f,1,4,20,2,33,1,6,1
1,725,2020-03-20 23:43:47.934342,45746325-541e-46c2-9413-2535f2bb2d00,0242ac12-0005-37be-a252-000000000219,runner_on_skipped,14,f,f,1,4,20,2,33,2,3,1
1,726,2020-03-20 23:43:47.980997,0242ac12-0005-37be-a252-00000000021a,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,12,f,f,1,4,54,2,33,,,1
1,727,2020-03-20 23:43:47.955493,490eb4f0-7b94-4a31-bc04-04e0912441a7,0242ac12-0005-37be-a252-000000000219,runner_on_skipped,14,f,f,1,4,20,2,33,1,6,1
1,728,2020-03-20 23:43:47.981972,6f1428af-37f0-496a-bddf-ed1813953073,0242ac12-0005-37be-a252-00000000021a,runner_on_start,12,f,f,1,4,54,2,33,2,3,1
1,729,2020-03-20 23:43:48.022816,3b40748b-d436-439c-8120-0bf505a10c47,0242ac12-0005-37be-a252-00000000021a,runner_on_start,12,f,f,1,4,54,2,33,1,6,1
1,730,2020-03-20 23:43:48.557091,2b708aef-2085-473c-8352-e535e12f17a7,0242ac12-0005-37be-a252-00000000021a,runner_on_skipped,12,f,f,1,4,54,2,33,2,3,1
1,731,2020-03-20 23:43:48.610746,0242ac12-0005-37be-a252-00000000021b,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,15,f,f,1,4,61,2,33,,,1
1,732,2020-03-20 23:43:48.612427,8272210d-e9cc-4772-b894-8a1459db5ec3,0242ac12-0005-37be-a252-00000000021b,runner_on_start,15,f,f,1,4,61,2,33,2,3,1
1,733,2020-03-20 23:43:48.576932,cd898ec5-9e12-4ff8-b8bb-410bb87192c4,0242ac12-0005-37be-a252-00000000021a,runner_on_skipped,12,f,f,1,4,54,2,33,1,6,1
1,734,2020-03-20 23:43:48.657042,c96d3a17-c389-499f-9dd8-2a2eaa1855f4,0242ac12-0005-37be-a252-00000000021b,runner_on_start,15,f,f,1,4,61,2,33,1,6,1
1,735,2020-03-20 23:43:49.679115,a7f4ac98-1fdb-40b3-bd4d-954fa427dfee,0242ac12-0005-37be-a252-00000000021b,runner_on_ok,15,f,f,1,4,61,2,33,2,3,1
1,736,2020-03-20 23:43:49.715934,0242ac12-0005-37be-a252-00000000021c,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,15,f,f,1,4,19,2,33,,,1
1,737,2020-03-20 23:43:49.690559,ef28ce67-fa43-4403-b9a0-2a98d2c46961,0242ac12-0005-37be-a252-00000000021b,runner_on_ok,15,f,f,1,4,61,2,33,1,6,1
1,738,2020-03-20 23:43:49.716844,2331e49d-1b94-4864-aa4b-8aaf9e706d19,0242ac12-0005-37be-a252-00000000021c,runner_on_start,15,f,f,1,4,19,2,33,2,3,1
1,739,2020-03-20 23:43:49.677664,2b92d5c2-3fb7-495e-a73a-ad780236e4cb,0242ac12-0005-37be-a252-00000000021b,runner_item_on_ok,15,f,f,1,4,61,2,33,2,3,1
1,740,2020-03-20 23:43:49.6895,a86b5c19-102f-433f-9a6b-fbb967aeab17,0242ac12-0005-37be-a252-00000000021b,runner_item_on_ok,15,f,f,1,4,61,2,33,1,6,1
1,741,2020-03-20 23:43:49.785907,a961e432-3ac6-423d-ad50-d6e11621bc2f,0242ac12-0005-37be-a252-00000000021c,runner_on_start,15,f,f,1,4,19,2,33,1,6,1
1,742,2020-03-20 23:43:50.370103,6341e9cd-ff16-4fa8-8600-510474a1383a,0242ac12-0005-37be-a252-00000000021c,runner_on_skipped,15,f,f,1,4,19,2,33,2,3,1
1,743,2020-03-20 23:43:50.939135,c8058d8b-6cd0-441c-b9d8-a796bb055f60,0242ac12-0005-37be-a252-00000000021c,runner_on_ok,15,f,f,1,4,19,2,33,1,6,1
1,744,2020-03-20 23:43:50.961892,0242ac12-0005-37be-a252-00000000021d,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,17,f,f,1,4,21,2,33,,,1
1,745,2020-03-20 23:43:50.96311,1d7f0247-71af-46cc-9290-7717f8e6802d,0242ac12-0005-37be-a252-00000000021d,runner_on_start,17,f,f,1,4,21,2,33,2,3,1
1,746,2020-03-20 23:43:51.008713,1e93dee0-4ec3-495c-870c-350e17f0c0d1,0242ac12-0005-37be-a252-00000000021d,runner_on_start,17,f,f,1,4,21,2,33,1,6,1
1,747,2020-03-20 23:43:51.558482,2b337dac-027c-46f6-a0ad-1df4629ac198,0242ac12-0005-37be-a252-00000000021d,runner_item_on_skipped,17,f,f,1,4,21,2,33,1,6,1
1,748,2020-03-20 23:43:51.588899,f75be365-4a1c-4c3d-8f7b-379544206ffc,0242ac12-0005-37be-a252-00000000021e,runner_on_start,17,f,f,1,4,17,2,33,2,3,1
1,749,2020-03-20 23:43:51.482332,cc28f567-0501-40ff-8228-805d974d9716,0242ac12-0005-37be-a252-00000000021d,runner_on_skipped,17,f,f,1,4,21,2,33,2,3,1
1,750,2020-03-20 23:43:51.550437,038744d6-86de-4e11-9c65-32027d6a5a76,0242ac12-0005-37be-a252-00000000021d,runner_item_on_skipped,17,f,f,1,4,21,2,33,1,6,1
1,751,2020-03-20 23:43:51.560456,da6c0256-f970-4bc8-bd78-b03397e0ff32,0242ac12-0005-37be-a252-00000000021d,runner_on_skipped,17,f,f,1,4,21,2,33,1,6,1
1,752,2020-03-20 23:43:51.587887,0242ac12-0005-37be-a252-00000000021e,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,17,f,t,1,4,17,2,33,,,1
1,753,2020-03-20 23:43:51.559589,80948ad6-70d4-4a58-818b-7597cca1e17f,0242ac12-0005-37be-a252-00000000021d,runner_item_on_skipped,17,f,f,1,4,21,2,33,1,6,1
1,754,2020-03-20 23:43:51.639762,458e6723-1f7a-4ae8-9ca3-191665dcd7d3,0242ac12-0005-37be-a252-00000000021e,runner_on_start,17,f,f,1,4,17,2,33,1,6,1
1,755,2020-03-20 23:43:52.284002,43b47e27-b86a-4e1c-8408-6507263db21a,0242ac12-0005-37be-a252-00000000021e,runner_on_skipped,17,f,f,1,4,17,2,33,2,3,1
1,756,2020-03-20 23:43:52.744837,73c1af38-d3fc-4030-b511-dd6843825d6b,0242ac12-0005-37be-a252-00000000021e,runner_item_on_ok,15,f,t,1,4,17,2,33,1,6,1
1,757,2020-03-20 23:43:53.177677,257dcdf4-04b0-4d50-a934-0dcbebb6bdbc,0242ac12-0005-37be-a252-00000000021e,runner_item_on_ok,15,f,t,1,4,17,2,33,1,6,1
1,758,2020-03-20 23:43:53.620448,4376b49e-c0fb-4da4-a28a-b103f9a03055,0242ac12-0005-37be-a252-00000000021e,runner_item_on_ok,15,f,t,1,4,17,2,33,1,6,1
1,759,2020-03-20 23:43:53.648595,5dae9711-9e3a-4e81-adcb-dff5640c5dfe,0242ac12-0005-37be-a252-00000000021f,runner_on_start,12,f,f,1,4,36,2,33,2,3,1
1,760,2020-03-20 23:43:53.621788,bb90e736-b77e-4055-8434-30091f4f95eb,0242ac12-0005-37be-a252-00000000021e,runner_on_ok,17,f,t,1,4,17,2,33,1,6,1
1,761,2020-03-20 23:43:53.647691,0242ac12-0005-37be-a252-00000000021f,0242ac12-0005-37be-a252-000000000007,playbook_on_task_start,12,f,t,1,4,36,2,33,,,1
1,762,2020-03-20 23:43:53.689251,37cd8714-90ed-4360-a6c7-72a6d6351d1f,0242ac12-0005-37be-a252-00000000021f,runner_on_start,12,f,f,1,4,36,2,33,1,6,1
